acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,117,,,,None,1,m,0,22,,,,,,,,,,,,,m,150,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,23,,,,,,,,,,,,,m,116,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,24,,,,,,,,,,,,,m,111,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,25,,,,,,,,,,,,,m,144,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,26,,,,,,,,,,,,,m,127,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,27,,,,,,,,,,,,,m,117,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,28,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,29,,,,,,,,,,,,,m,136,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,30,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,31,,,,,,,,,,,,,m,126,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,32,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,33,,,,,,,,,,,,,m,130,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,34,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,35,,,,,,,,,,,,,m,144,,,,,,,,,1,,None
100,100,121,,,,None,1,m,0,36,,,,,,,,,,,,,m,144,,,,,,,,,1,,None
100,100,121,,,,None,1,m,0,37,,,,,,,,,,,,,m,138,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,38,,,,,,,,,,,,,m,149,,,,,,,,,1,,None
100,100,123,,,,None,1,m,0,39,,,,,,,,,,,,,m,140,,,,,,,,,1,,None
100,100,123,,,,None,1,m,0,40,,,,,,,,,,,,,m,152,,,,,,,,,1,,None
